legislator,committee,accepted_contributions,position
Marc Korman,Environment and Transportation,Yes,Chair
Michele Guyton,Environment and Transportation,Yes,Vice Chair
Nick Allen,Environment and Transportation,No,None
H. Kevin Anderson,Environment and Transportation,No,None
Terry L. Baker,Environment and Transportation,No,None
Dylan Behler,Environment and Transportation,No,None
Regina T. Boyce,Environment and Transportation,Yes,None
Linda Foley,Environment and Transportation,Yes,None
David Fraser-Hidalgo,Environment and Transportation,Yes,None
"Robin L. Grammer, Jr.",Environment and Transportation,No,None
Anne Healey,Environment and Transportation,No,None
"Marvin E. Holmes, Jr.",Environment and Transportation,Yes,None
Jay A. Jacobs,Environment and Transportation,Yes,None
Robbyn Lewis,Environment and Transportation,No,None
"Jeffrie E. Long, Jr.",Environment and Transportation,Yes,None
Todd B. Morgan,Environment and Transportation,Yes,None
Ryan Nawrocki,Environment and Transportation,No,None
Darrell Odom,Environment and Transportation,No,None
Dana Stein,Environment and Transportation,No,None
Natalie Ziegler,Environment and Transportation,Yes,None
Brian J. Feldman,"Education, Energy and the Environment",Yes,Chair
Cheryl C. Kagan,"Education, Energy and the Environment",Yes,Vice Chair
Dalya Attar,"Education, Energy and the Environment",No,None
Benjamin Brooks,"Education, Energy and the Environment",Yes,None
Mary Beth Carozza,"Education, Energy and the Environment",Yes,None
Jason C. Gallion,"Education, Energy and the Environment",Yes,None
Kevin M. Harris,"Education, Energy and the Environment",Yes,None
Katie Fry Hester,"Education, Energy and the Environment",No,None
Bryan W. Simonaire,"Education, Energy and the Environment",No,None
Mary Washington,"Education, Energy and the Environment",No,None
Ron Watson,"Education, Energy and the Environment",Yes,None